playerId,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
55532,41,감보아,롯데,투수,19,19,108,2,0,4,19,2,0.920,0,0,0,-
52591,41,윤동희,롯데,중견수,19,18,121 2/3,0,0,37,0,0,1.000,0,0,0,-
68507,43,장두성,롯데,우익수,16,8,85,1,0,22,0,0,0.957,0,0,0,-
62802,44,박승욱,롯데,2루수,15,0,22,0,0,5,13,1,1.000,0,0,0,-
50150,44,손호영,롯데,2루수,15,12,96,1,0,23,30,9,0.981,0,0,0,-
51516,46,김진욱,롯데,투수,14,6,27,1,0,1,5,0,0.857,0,0,0,-
77564,47,김민성,롯데,2루수,12,10,81,0,0,17,22,4,1.000,0,0,0,-
63543,48,구승민,롯데,투수,11,0,9,0,0,1,1,0,1.000,0,0,0,-
77564,48,김민성,롯데,1루수,11,2,25,1,0,28,0,6,0.966,0,0,0,-
60559,48,박시영,롯데,투수,11,0,7 1/3,0,0,0,2,0,1.000,0,0,0,-
54503,48,박준우,롯데,투수,11,1,12 1/3,0,0,0,2,0,1.000,0,0,0,-
55526,48,벨라스케즈,롯데,투수,11,7,35,0,0,2,4,0,1.000,0,0,0,-
52568,48,한태양,롯데,유격수,11,2,26,1,0,10,12,5,0.957,0,0,0,-
62802,54,박승욱,롯데,1루수,10,0,16 1/3,0,0,10,2,3,1.000,0,0,0,-
52568,54,한태양,롯데,3루수,10,1,27,0,0,0,2,0,1.000,0,0,0,-
55563,56,박재엽,롯데,포수,9,3,39,1,0,42,1,1,0.977,0,3,1,25.0
55506,56,한승현,롯데,우익수,9,3,30,0,0,7,1,0,1.000,0,0,0,-
55530,58,박찬형,롯데,2루수,8,5,45 1/3,2,0,14,19,4,0.943,0,0,0,-
52528,58,반즈,롯데,투수,8,8,45 2/3,0,0,2,4,0,1.000,0,0,0,-
55506,58,한승현,롯데,좌익수,8,2,23,0,0,3,0,0,1.000,0,0,0,-
50500,58,황성빈,롯데,좌익수,8,3,33,0,0,7,0,0,1.000,0,0,0,-
62931,62,노진혁,롯데,1루수,7,2,29 2/3,2,0,30,1,6,0.939,0,0,0,-
63512,62,박진형,롯데,투수,7,0,5 1/3,0,0,0,1,0,1.000,0,0,0,-
68205,62,전민재,롯데,3루수,7,5,48,1,0,8,13,1,0.955,0,0,0,-
52516,62,조세진,롯데,우익수,7,1,8,0,0,1,0,0,1.000,0,0,0,-
55509,66,박건우,롯데,포수,6,0,11 1/3,0,0,10,1,0,1.000,1,0,0,-
62802,67,박승욱,롯데,3루수,5,2,19,0,0,1,4,0,1.000,0,0,0,-
69508,67,신윤후,롯데,중견수,5,2,27 2/3,0,0,5,0,0,1.000,0,0,0,-
62931,69,노진혁,롯데,3루수,4,1,10,0,0,2,0,0,1.000,0,0,0,-
69508,69,신윤후,롯데,우익수,4,0,6,0,0,0,0,0,-,0,0,0,-
64017,69,심재민,롯데,투수,4,0,3,0,0,0,0,0,-,0,0,0,-
68205,69,전민재,롯데,2루수,4,2,19,0,0,7,4,2,1.000,0,0,0,-
55568,73,박세현,롯데,투수,3,0,3 2/3,0,0,1,0,0,1.000,0,0,0,-
55503,73,이영재,롯데,투수,3,0,2,0,0,0,0,0,-,0,0,0,-
54598,73,이호준,롯데,3루수,3,0,7 2/3,1,0,2,2,0,0.800,0,0,0,-
51546,73,정우준,롯데,투수,3,0,3 1/3,0,0,0,0,0,-,0,0,0,-
62884,73,최항,롯데,1루수,3,0,4,1,0,2,2,0,0.800,0,0,0,-
62363,73,한현희,롯데,투수,3,2,8 2/3,0,0,0,0,0,-,0,0,0,-
69517,79,고승민,롯데,좌익수,2,1,10,0,0,4,0,0,1.000,0,0,0,-
55530,79,박찬형,롯데,유격수,2,1,13,1,0,3,3,2,0.857,0,0,0,-
50608,79,이인한,롯데,좌익수,2,0,2 1/3,0,0,0,0,0,-,0,0,0,-
55511,79,이태경,롯데,2루수,2,0,2,0,0,0,0,0,-,0,0,0,-
68556,79,정성종,롯데,투수,2,0,2 1/3,0,0,0,0,0,-,0,0,0,-
60523,79,정훈,롯데,좌익수,2,1,10,0,0,2,0,0,1.000,0,0,0,-
55506,79,한승현,롯데,중견수,2,1,9,0,0,3,1,1,1.000,0,0,0,-
54506,86,강승구,롯데,포수,1,0,2,0,0,2,0,0,1.000,0,0,0,-
55566,86,김태현,롯데,투수,1,0,2,0,0,0,0,0,-,0,0,0,-
50150,86,손호영,롯데,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
69508,86,신윤후,롯데,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
52516,86,조세진,롯데,중견수,1,1,8,0,0,4,0,0,1.000,0,0,0,-
62884,86,최항,롯데,2루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
